id,source,title,company,location,country,posted_date,first_seen,last_seen,salary_min,salary_max,url,status,notes
job_bank_canada:755494dcd414f99f,job_bank_canada,mechanical engineer,,,CA,2026-09-23,2026-09-24,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50352369,New,
job_bank_canada:095906423f6326d5,job_bank_canada,mechanical engineer,,,CA,2026-09-23,2026-09-24,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50352084,New,
job_bank_canada:ffe82ec00c49c045,job_bank_canada,design engineer - mechanical,,,CA,2026-09-23,2026-09-24,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50350120,New,
job_bank_canada:e269bf3cfe167804,job_bank_canada,robotics engineer,,,CA,2026-09-23,2026-09-24,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50350220,New,
job_bank_canada:46880af36cf20fda,job_bank_canada,drone technician,,,CA,2026-09-23,2026-09-24,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50351600,New,
job_bank_canada:33e8e530f8598a61,job_bank_canada,"designer, mechanical engineering equipment",,,CA,2026-09-23,2026-09-24,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50350257,New,
job_bank_canada:7a767592ee9d6537,job_bank_canada,robotics technician,,,CA,2026-09-23,2026-09-24,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50350222,New,
job_bank_canada:221c7914e6160a60,job_bank_canada,mould design engineer,,,CA,2026-09-23,2026-09-24,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50355575,New,
job_bank_canada:115ebd0a1922dfc3,job_bank_canada,"heating, ventilating and air conditioning systems technician",,,CA,2026-09-24,2026-09-24,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50357998,New,
job_bank_canada:8b1f831c402504ab,job_bank_canada,mechanical engineering technologist,,,CA,2026-09-24,2026-09-24,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50357101,New,
job_bank_canada:84da94fa65592950,job_bank_canada,"engineering assistant, mechanical equipment",,,CA,2026-09-24,2026-09-24,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50356940,New,
job_bank_canada:74916d4609e62a7e,job_bank_canada,equipment development technician,,,CA,2026-09-23,2026-09-24,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50355238,New,
job_bank_canada:b948e0ed8fe75dbe,job_bank_canada,mechanical engineer,,,CA,2026-09-22,2026-09-23,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50344655,New,
job_bank_canada:c8517f26d2d30f25,job_bank_canada,"heating, ventilation and air conditioning (HVAC) systems specialist",,,CA,2026-09-22,2026-09-23,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50345751,New,
job_bank_canada:d4d05283d8ea28eb,job_bank_canada,mechanical engineering technician,,,CA,2026-09-22,2026-09-23,2026-09-23,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50344421,New,
job_bank_canada:65b29734f01cbf16,job_bank_canada,drone technician,,,CA,2026-09-22,2026-09-23,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50343357,New,
job_bank_canada:d2bfec570af063a4,job_bank_canada,drone technician,,,CA,2026-09-22,2026-09-23,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50342728,New,
job_bank_canada:a9d3bdcb1b6991f1,job_bank_canada,"heating, ventilation and air conditioning (HVAC) technician",,,CA,2026-09-22,2026-09-23,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50341510,New,
job_bank_canada:aa8a4ee44d85bdb8,job_bank_canada,drone technician,,,CA,2026-09-23,2026-09-23,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50348705,New,
job_bank_canada:885a29709e9c4580,job_bank_canada,"heating, ventilation and air conditioning (HVAC) technologist",,,CA,2026-09-23,2026-09-23,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50348612,New,
job_bank_canada:0a4a177cb8864ee9,job_bank_canada,mechanical engineering technician,,,CA,2026-09-21,2026-09-23,2026-09-23,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50347846,New,
job_bank_canada:958a04d2ec4d2e55,job_bank_canada,mechanical engineer,,,CA,2026-09-21,2026-09-22,2026-09-23,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50334656,New,
job_bank_canada:34e8bb74b517d80e,job_bank_canada,mechanical engineering technician,,,CA,2026-09-21,2026-09-22,2026-09-23,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50334240,New,
job_bank_canada:cc773b6f2064fd8a,job_bank_canada,mechanical technologist,,,CA,2026-09-21,2026-09-22,2026-09-23,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50333324,New,
job_bank_canada:a33278a3277d6b0e,job_bank_canada,robotics engineer,,,CA,2026-09-22,2026-09-22,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50339029,New,
job_bank_canada:9ae74266ed88a9e9,job_bank_canada,design engineer - mechanical,,,CA,2026-09-21,2026-09-22,2026-09-24,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50337321,New,
job_bank_canada:4ad553f3399f624e,job_bank_canada,"heating, ventilation and air conditioning (HVAC) engineer",,,CA,2026-09-20,2026-09-21,2026-09-22,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50327172,New,
job_bank_canada:3fd5888c25d0936b,job_bank_canada,mechanical engineering technologist,,,CA,2026-09-21,2026-09-21,2026-09-23,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50330745,New,
job_bank_canada:138f2ffecdf38269,job_bank_canada,"heating, ventilating and air conditioning systems technician",,,CA,2026-09-21,2026-09-21,2026-09-23,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50330045,New,
job_bank_canada:762d7a7ce0cd2c7c,job_bank_canada,design engineer - mechanical,,,CA,2026-09-19,2026-09-20,2026-09-22,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50325557,New,
job_bank_canada:73e15c71e940ed8b,job_bank_canada,design engineer - mechanical,,,CA,2026-09-18,2026-09-19,2026-09-20,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50318479,New,
job_bank_canada:4f1a7ca3ec29940e,job_bank_canada,mechanical engineer,,,CA,2026-09-18,2026-09-19,2026-09-20,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50317908,New,
job_bank_canada:2d2ced994b33d27b,job_bank_canada,acoustical engineer,,,CA,2026-09-18,2026-09-19,2026-09-20,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50317327,New,
job_bank_canada:8150505c6b03d910,job_bank_canada,mechanical engineering design technologist,,,CA,2026-09-18,2026-09-19,2026-09-20,,,https://www.jobbank.gc.ca/jobsearch/jobposting/50318098,New,
